Part name,Quantity,Price,Link
XIAO ESP32C6,1,"372,15TL",https://www.e-komponent.com/xiao-esp32c6-113991254?srsltid=AfmBOopB-BQC1uFZCfY4FGXjPmNCwkjzvs1w_hg2QFRo9FVkd8EaNzgGrSo
Buzzer,1,"8,83TL",https://www.robo90.com/pasif-buzzer-5v?srsltid=AfmBOooFe7VuudJfLUruNUCMRrNYbgbjvySoE1qQ5f0xU57FEfpiB_tF_qM
Rotary Encoder Module,1,"36,70TL",https://www.robocombo.com/Arduino-Rotary-Encoder-Modulu?srsltid=AfmBOoq-DIC44tUAUnrKUq2raslqCxPsQNdZY_GyfO3IJuWhePIgGyT6BX0
25x35 Lipo Battery,1,699TL,https://www.trendyol.com/genel-markalar/25x35mm-lipo-pil-600mah-35x25mm-lipo-pil-602535-3-7v-lipo-pil-602535-3-7v-polimer-pil-bensu-pendik-p-824317653
1.3 inch oled screen,1,"152,30TL",https://www.voltaj.net/13-inch-i2c-oled-ekran-128x64-ssd1106g-pmu35378
MPU 6050,1,"102,49TL",https://www.robitshop.com/urun/6-eksen-ivme-ve-gyro-sensoru-mpu6050-gy-521?srsltid=AfmBOop0bDwkin6rpv_X9Fxhh-cBKxoTl0FF5q-eSgdwnmj--LGE7p3_kWY
M3 screw,4,"1,30TL",https://www.robotistan.com/m3-25mm-yildiz-basli-civata?language=tr&h=054a82bc
M3 hexnut,1,"10,80TL",https://www.robolinkmarket.com/m3-somun-10-adet?srsltid=AfmBOoqswfJYw3VU65BBEJcGvYo800PEhXbsbxBG298clWZm6tmHpdcdzVw
